Age,Purchase Amount (USD),Size,Review Rating,Subscription Status,Discount Applied,Promo Code Used,Previous Purchases,Frequency of Purchases,Gender_Male,Category_Clothing,Category_Footwear,Category_Outerwear,Season_Spring,Season_Summer,Season_Winter,Shipping Type_Express,Shipping Type_Free Shipping,Shipping Type_Next Day Air,Shipping Type_Standard,Shipping Type_Store Pickup,Payment Method_Cash,Payment Method_Credit Card,Payment Method_Debit Card,Payment Method_PayPal,Payment Method_Venmo
0.7189134397952563,-0.2856286395859996,3,-0.9075835732839896,1,1,1,-0.7858306710129406,4,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
-1.6486292371745563,0.17885218518331839,3,-0.9075835732839896,1,1,1,-1.6165522585850673,4,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
0.3900880679938935,0.5588819509036694,1,-0.9075835732839896,1,1,1,-0.16278948033384555,5,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
-1.5170990884540112,1.2767159528198881,2,-0.3490265374929906,1,1,1,1.6371072927390957,5,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False
0.061262696192530657,-0.45453075768393336,2,-1.4661406090749887,1,1,1,0.39102491138090567,1,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
0.12702777055280323,-1.6790711138939534,2,-1.1868620911794894,1,1,1,-0.7858306710129406,5,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
1.245034034677437,1.0655883051974708,2,-0.7679443143362397,1,1,1,1.6371072927390957,2,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
-1.1225086422923756,-1.0879137005511852,3,-0.7679443143362397,1,1,1,-0.4396966761912211,5,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False
-1.1882737166526482,1.5722946594912723,3,-1.6057798680227386,1,1,1,-1.201191464799004,1,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True
0.8504435885158015,-1.2145902891246354,2,1.4662838288277564,1,1,1,-1.4780986606563795,2,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
